,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
55,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1.0,AREAL.ai,"Los Angeles, CA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,AREAL.ai,CA,-1.0,mle,na,0,90,115
56,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1.0,Adlumin Inc.,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,Adlumin Inc.,Remote,-1.0,mle,na,0,90,115
57,Clinical Data Scientist,$90K - $115K (Employer est.),Data Science,-1.0,"Vivante Health, Inc.",Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,"Vivante Health, Inc.",Remote,-1.0,data scientist,na,0,90,115
58,Data Scientist,$90K - $115K (Employer est.),Data Science,4.2,"Davidson Technologies, Inc.
4.2","Huntsville, AL",-1,201 to 500 Employees,1996.0,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$25 to $50 million (USD),-1,0,0,90,115,102.5,"Davidson Technologies, Inc.",AL,24.0,data scientist,na,0,90,115
59,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,4.9,"Sense
4.9","Cambridge, MA",-1,1 to 50 Employees,2013.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,90,115,102.5,Sense,MA,7.0,mle,na,0,90,115
60,Data Scientist,$90K - $115K (Employer est.),Data Science,-1.0,Opanga Networks,"Seattle, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,Opanga Networks,WA,-1.0,data scientist,na,0,90,115
61,Data Scientist,$90K - $115K (Employer est.),Data Science,-1.0,Community Center for Education Results,"Seattle, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,Community Center for Education Results,WA,-1.0,data scientist,na,0,90,115
62,Mathematical Statistician,$90K - $115K (Employer est.),Data Science,-1.0,National Security Agency,"Fort Meade, MD",-1,Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,0,90,115,102.5,National Security Agency,MD,-1.0,na,na,0,90,115
63,Mathematician,$90K - $115K (Employer est.),Data Science,-1.0,National Security Agency,"Fort Meade, MD",-1,Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,0,90,115,102.5,National Security Agency,MD,-1.0,na,na,0,90,115
64,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1.0,Strategic Employment Partners,Remote,-1,51 to 200 Employees,2006.0,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,0,90,115,102.5,Strategic Employment Partners,Remote,14.0,mle,na,0,90,115
