,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
105,Principal Data Scientist,$95K - $115K (Employer est.),Data Science,3.8,"Verizon
3.8","Newport Beach, CA",-1,10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
106,Senior Machine Learning Data Scientist - Hybrid Remote,$95K - $115K (Employer est.),Data Science,3.3,"CaaStle
3.3","Mountain View, CA",-1,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
107,Lead Data Scientist - Remote,$95K - $115K (Employer est.),Data Science,3.7,"Stanley, Black and Decker
3.7","New Britain, CT",-1,10000+ Employees,1843,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
108,"Data Scientist, Demand Forecasting",$95K - $115K (Employer est.),Data Science,1.0,"Wonder
1.0","New York, NY",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
109,Data Scientist (People Products),$95K - $115K (Employer est.),Data Science,-1,The World's Largest Social Network,"Seattle, WA",-1,1 to 50 Employees,2012,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
110,Gametime - Senior Data Analyst,$95K - $115K (Employer est.),Data Science,-1,Gametime,Remote,-1,1 to 50 Employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
111,Lead Data Scientist,$95K - $115K (Employer est.),Data Science,4.0,"Northwestern Mutual
4.0","New York, NY",-1,5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD),-1
112,Sr. Data Scientist,$95K - $115K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,,1833,,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1
113,"Sr Data Analyst, AMERICAS",$95K - $115K (Employer est.),Data Science,-1,Smart AdServer,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
114,Clinical Data Scientist,$95K - $115K (Employer est.),Data Science,-1,"Vivante Health, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1,-1
115,Mathematical Statistician,$95K - $115K (Employer est.),Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
116,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1
117,Senior Data Scientist,$95K - $115K (Employer est.),Data Science,4.1,"NIKE INC
4.1","Manning, OR",-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
118,Mathematician,$95K - $115K (Employer est.),Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
119,"Director, Data Science- SMB Labs",$95K - $115K (Employer est.),Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
120,Data Scientist,$95K - $115K (Employer est.),Data Science,-1,Community Center for Education Results,"Seattle, WA",-1,-1,-1,-1,-1,-1,-1,-1
121,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,-1,Strategic Employment Partners,Remote,-1,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1
122,Gametime - Senior Data Analyst,$95K - $115K (Employer est.),Data Science,-1,Gametime,Remote,-1,1 to 50 Employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
123,Predictive Modeler,$95K - $115K (Employer est.),Data Science,3.3,"Lancer Insurance Company
3.3",Remote,-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
124,Data Scientist (People Products),$95K - $115K (Employer est.),Data Science,-1,The World's Largest Social Network,"Seattle, WA",-1,1 to 50 Employees,2012,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
125,"Data Scientist, Demand Forecasting",$95K - $115K (Employer est.),Data Science,1.0,"Wonder
1.0","New York, NY",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
126,Senior Machine Learning Data Scientist - Hybrid Remote,$95K - $115K (Employer est.),Data Science,3.3,"CaaStle
3.3","Mountain View, CA",-1,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
127,"Director I, Data Science",$95K - $115K (Employer est.),Data Science,3.8,"Liberty Mutual Insurance
3.8",Remote,-1,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
128,Lead Data Scientist - Remote,$95K - $115K (Employer est.),Data Science,3.7,"Stanley, Black and Decker
3.7","New Britain, CT",-1,10000+ Employees,1843,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
129,Arity-Data Scientist Researcher (Remote-Home Based Worker),$95K - $115K (Employer est.),Data Science,3.5,"Allstate
3.5","Northbrook, IL",-1,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1
130,Junior Scientist- Data Analyst,$95K - $115K (Employer est.),Data Science,3.5,"ChampionX
3.5","Boulder, CO",-1,5001 to 10000 Employees,2020,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),-1
131,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,3.9,"Robert Half
3.9","New York, NY",-1,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),-1
132,Data Science Manager - Acoustics,$95K - $115K (Employer est.),Data Science,-1,Engtal,Remote,-1,-1,-1,-1,-1,-1,-1,-1
133,Data Scientist,$95K - $115K (Employer est.),Data Science,3.9,"Insight Global
3.9",Remote,-1,1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1
